year,FFI,AFOLU
1750,0.002552,0.003
1751,0.002552,0.009
1752,0.002553,0.015
1753,0.002553,0.021
1754,0.002554,0.027
1755,0.002555,0.033
1756,0.002731,0.039
1757,0.002732,0.045
1758,0.002733,0.051
1759,0.002734,0.057
1760,0.002734,0.063
1761,0.002995,0.069
1762,0.002996,0.075
1763,0.002997,0.081
1764,0.002998,0.087
1765,0.002999,0.093
1766,0.003346,0.099
1767,0.003347,0.105
1768,0.003348,0.111
1769,0.003349,0.117
1770,0.00335,0.123
1771,0.003715,0.129
1772,0.003716,0.135
1773,0.003717,0.141
1774,0.003718,0.147
1775,0.003719,0.153
1776,0.004104,0.159
1777,0.004105,0.165
1778,0.004106,0.171
1779,0.004107,0.177
1780,0.004109,0.183
1781,0.004597,0.189
1782,0.004598,0.195
1783,0.0046,0.201
1784,0.004601,0.207
1785,0.004604,0.213
1786,0.005227,0.219
1787,0.005229,0.225
1788,0.00523,0.231
1789,0.005232,0.237
1790,0.005234,0.243
1791,0.005846,0.249
1792,0.005976,0.255
1793,0.005981,0.261
1794,0.005972,0.267
1795,0.005975,0.273
1796,0.006264,0.279
1797,0.006576,0.285
1798,0.006849,0.291
1799,0.007213,0.297
1800,0.007667,0.303
1801,0.007631,0.309
1802,0.010039,0.315
1803,0.008594,0.321
1804,0.009364,0.327
1805,0.009121,0.333
1806,0.009565,0.339
1807,0.010064,0.345
1808,0.00957,0.351
1809,0.009577,0.357
1810,0.010202,0.363
1811,0.010803,0.369
1812,0.011192,0.375
1813,0.01125,0.381
1814,0.011498,0.387
1815,0.011869,0.393
1816,0.013009,0.399
1817,0.013491,0.405
1818,0.013549,0.411
1819,0.013632,0.417
1820,0.013834,0.423
1821,0.014038,0.429
1822,0.014592,0.435
1823,0.015434,0.441
1824,0.015973,0.447
1825,0.016582,0.453
1826,0.016763,0.459
1827,0.01799,0.465
1828,0.018187,0.471
1829,0.018121,0.477
1830,0.024324,0.483
1831,0.02307,0.489
1832,0.023229,0.495
1833,0.023692,0.501
1834,0.02415,0.507
1835,0.024685,0.513
1836,0.028596,0.519
1837,0.028573,0.525
1838,0.029488,0.531
1839,0.030462,0.537
1840,0.032459,0.543
1841,0.033466,0.549
1842,0.035345,0.555
1843,0.036259,0.561
1844,0.038598,0.567
1845,0.042361,0.573
1846,0.043066,0.579
1847,0.047053,0.585
1848,0.047439,0.591
1849,0.050085,0.597
1850,0.053738,0.661766667
1851,0.054259,0.6859
1852,0.056646,0.696233333
1853,0.059282,0.711933333
1854,0.069634,0.718033333
1855,0.071006,0.721566667
1856,0.07568,0.730366667
1857,0.076389,0.736866667
1858,0.077557666,0.745433333
1859,0.082235713,0.7535
1860,0.090240523,0.7232
1861,0.094905713,0.689066667
1862,0.09663119,0.6836
1863,0.103127475,0.683633333
1864,0.111105428,0.6747
1865,0.117987713,0.6668
1866,0.121716618,0.664
1867,0.130408,0.664366667
1868,0.133939,0.660033333
1869,0.14223,0.653533333
1870,0.145343,0.702233333
1871,0.154515,0.7327
1872,0.170953,0.747966667
1873,0.18161,0.767366667
1874,0.170032,0.7813
1875,0.184443,0.7889
1876,0.187105,0.799633333
1877,0.190802,0.8122
1878,0.192243236,0.825933333
1879,0.206022712,0.836533333
1880,0.232997997,0.846266667
1881,0.240831059,0.845233333
1882,0.254345499,0.8624
1883,0.270478282,0.878966667
1884,0.273519182,0.884333333
1885,0.275565329,0.885333333
1886,0.27987867,0.893033333
1887,0.293874947,0.9077
1888,0.325401703,0.907233333
1889,0.32527282,0.913133333
1890,0.3543827,0.946133333
1891,0.370871704,0.972666667
1892,0.373932383,0.9823
1893,0.369451062,1.000933333
1894,0.382330135,1.0106
1895,0.405369152,1.021666667
1896,0.418586645,1.030733333
1897,0.43840081,1.041166667
1898,0.462408776,1.049666667
1899,0.505130481,1.061066667
1900,0.532808269,1.092466667
1901,0.550421532,1.1059
1902,0.564324227,1.1237
1903,0.615200581,1.127166667
1904,0.622202158,1.144366667
1905,0.662476309,1.1541
1906,0.691794327,1.158233333
1907,0.788293605,1.168533333
1908,0.757752284,1.1773
1909,0.788883212,1.184266667
1910,0.828007587,1.178833333
1911,0.840397082,1.1766
1912,0.883061779,1.159333333
1913,0.956840939,1.1555
1914,0.867880007,1.1538
1915,0.855452552,1.141733333
1916,0.923929436,1.127066667
1917,0.966116945,1.127166667
1918,0.953285989,1.1326
1919,0.826571993,1.125066667
1920,0.960988659,1.1619
1921,0.843194388,1.191766667
1922,0.884207394,1.206966667
1923,1.003110822,1.210066667
1924,1.006031451,1.218233333
1925,1.016822239,1.233533333
1926,0.998716474,1.2301
1927,1.08999832,1.2335
1928,1.085172202,1.238266667
1929,1.164753563,1.239933333
1930,1.073889213,1.2463
1931,0.957696127,1.263066667
1932,0.86355749,1.2776
1933,0.909255201,1.284833333
1934,0.988724326,1.2942
1935,1.037613869,1.2942
1936,1.138458158,1.3028
1937,1.216617328,1.304
1938,1.143199068,1.311733333
1939,1.209623122,1.3136
1940,1.321557806,1.369566667
1941,1.351646101,1.4108
1942,1.34859973,1.4196
1943,1.371000123,1.4238
1944,1.392107673,1.4233
1945,1.157502742,1.414666667
1946,1.262829537,1.410233333
1947,1.398856797,1.395866667
1948,1.473912882,1.381633333
1949,1.426980434,1.364966667
1950,1.632983601,1.480666667
1951,1.73506328,1.528133333
1952,1.757936683,1.562333333
1953,1.806875502,1.591733333
1954,1.844936109,1.638566667
1955,2.022348021,1.6882
1956,2.152793216,1.744266667
1957,2.223407687,1.796566667
1958,2.285989246,1.849066667
1959,2.404406675,1.938933333
1960,2.548301357,1.7926
1961,2.555817502,1.6665
1962,2.645443361,1.608266667
1963,2.786531755,1.542733333
1964,2.937229436,1.494466667
1965,3.069373029,1.382833333
1966,3.217874752,1.323066667
1967,3.319751023,1.344133333
1968,3.500181537,1.358466667
1969,3.732498351,1.273466667
1970,4.039740524,1.2551
1971,4.203842693,1.2516
1972,4.398742733,1.252866667
1973,4.630642104,1.213866667
1974,4.611103566,1.1793
1975,4.620530842,1.1927
1976,4.874367868,1.1749
1977,5.011424154,1.202833333
1978,5.165536574,1.152666667
1979,5.311779481,1.107933333
1980,5.278528414,1.1148
1981,5.150685216,1.198633333
1982,5.10844278,1.2033
1983,5.140236251,1.311366667
1984,5.318432737,1.448166667
1985,5.49737305,1.386566667
1986,5.577388192,1.396466667
1987,5.751392912,1.395433333
1988,5.975697874,1.3806
1989,6.058325419,1.328833333
1990,6.15360351,1.331133333
1991,6.283098519,1.298366667
1992,6.100771369,1.3348
1993,6.160109249,1.3309
1994,6.199183271,1.445366667
1995,6.328932738,1.4433
1996,6.517266112,1.442433333
1997,6.553387228,1.9391
1998,6.528042326,1.497466667
1999,6.666765323,1.4981
2000,6.860298838,1.396266667
2001,6.916052953,1.2934
2002,7.078670868,1.413
2003,7.445770919,1.5428
2004,7.707599278,1.4635
2005,7.967112463,1.2873
2006,8.224003307,1.384633333
2007,8.463654574,1.210966667
2008,8.617000703,1.2672
2009,8.467335931,1.373833333
2010,8.949462441,1.320333333
2011,9.242927517,1.354833333
2012,9.377747667,1.3174
2013,9.454652431,1.263133333
2014,9.516910367,1.342166667
2015,9.509658675,1.4699
2016,9.497424178,1.235766667
2017,9.648803298,1.1823
2018,9.841200678,1.1412
2019,9.906784048,1.2438
2020,9.403914992,1.107466667
2021,9.902260271,1.075066667
2022,10,1.1
