data created:, 21-Aug-2024
monthly global mean of baseline data from AGAGE GC-MD data
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data center when these data are
used within a publication.
CONTACT POINT:  raywang@eas.gatech.edu, rprinn@mit.edu, rfweiss@ucsd.edu
CREDIT FOR USE: This is a formal notification for data users. 
   scale: ---   ---       SIO-05      ---       SIO-05      ---       SIO-05      ---       SIO-05      ---       SIO-05      ---       SIO-16      ---       TU1987      ---       SIO-98      ---
    unit: ---   ---          ppt      ---          ppt      ---          ppt      ---          ppt      ---          ppt      ---          ppb      ---          ppb      ---          ppt      ---
     time  MM  YYYY       CFC-11      ---       CFC-12      ---      CFC-113      ---      CH3CCl3      ---         CCl4      ---          N2O      ---          CH4      ---        CHCl3      ---
 1978.542   7  1978      147.067    6.349      268.552   11.092        0.000    0.000       71.805   10.458       88.972    1.348      299.316    0.823        0.000    0.000        0.000    0.000
 1978.625   8  1978      148.527    5.784      269.862   11.241        0.000    0.000       71.088   10.246       89.489    1.784      299.441    0.561        0.000    0.000        0.000    0.000
 1978.708   9  1978      148.925    5.412      271.445    9.476        0.000    0.000       69.845    8.760       89.393    1.479      299.889    0.490        0.000    0.000        0.000    0.000
 1978.792  10  1978      149.670    5.189      273.775    9.159        0.000    0.000       70.845    8.261       88.964    1.188      300.557    0.582        0.000    0.000        0.000    0.000
 1978.875  11  1978      150.647    4.904      276.780    7.185        0.000    0.000       71.945    7.771       88.941    0.657      300.598    0.467        0.000    0.000        0.000    0.000
 1978.958  12  1978      152.607    5.623      280.265    8.520        0.000    0.000       74.768    9.833       90.429    1.471      300.255    0.528        0.000    0.000        0.000    0.000
 1979.042   1  1979      153.245    4.635      283.425    8.146        0.000    0.000       74.405    8.975       91.107    1.915      301.152    0.463        0.000    0.000        0.000    0.000
 1979.125   2  1979      152.836    4.366      283.455    7.830        0.000    0.000       74.290    9.603       90.733    2.051      301.215    0.451        0.000    0.000        0.000    0.000
 1979.208   3  1979      152.893    4.699      284.052    7.396        0.000    0.000       74.815    9.230       89.528    1.213      300.630    0.256        0.000    0.000        0.000    0.000
 1979.292   4  1979      154.167    4.881      285.533    7.573        0.000    0.000       75.941    9.633       90.063    1.294      300.577    0.283        0.000    0.000        0.000    0.000
 1979.375   5  1979      155.072    5.354      286.657    8.251        0.000    0.000       76.582    9.587       90.854    1.887      300.672    0.456        0.000    0.000        0.000    0.000
 1979.458   6  1979      155.525    5.281      286.920    7.935        0.000    0.000       76.620    9.148       90.952    1.991      300.840    0.353        0.000    0.000        0.000    0.000
 1979.542   7  1979      156.427    5.586      289.312    9.026        0.000    0.000       76.863    9.113       91.018    1.863      300.637    0.154        0.000    0.000        0.000    0.000
 1979.625   8  1979      157.453    5.588      291.990    9.326        0.000    0.000       78.075    9.075       90.879    1.832      300.420    0.131        0.000    0.000        0.000    0.000
 1979.708   9  1979      157.625    5.464      291.580    8.618        0.000    0.000       76.977    8.067       90.659    1.652      300.657    0.286        0.000    0.000        0.000    0.000
 1979.792  10  1979      158.609    5.495      293.930    9.400        0.000    0.000       78.702    8.512       91.189    1.453      300.882    0.383        0.000    0.000        0.000    0.000
 1979.875  11  1979      159.629    5.414      295.900    9.961        0.000    0.000       80.055    8.640       90.971    2.093      300.990    0.230        0.000    0.000        0.000    0.000
 1979.958  12  1979      160.264    5.486      296.553    9.286        0.000    0.000       79.574    9.936       91.959    2.001      300.862    0.292        0.000    0.000        0.000    0.000
 1980.042   1  1980      161.303    5.039      297.938    8.387        0.000    0.000       81.455   10.163       92.595    2.118      300.952    0.281        0.000    0.000        0.000    0.000
 1980.125   2  1980      161.702    4.584      299.283    6.994        0.000    0.000       81.607    9.482       92.195    1.909      300.735    0.192        0.000    0.000        0.000    0.000
 1980.208   3  1980      163.217    4.962      302.040    7.710        0.000    0.000       83.545   10.276       92.592    2.142      301.050    0.335        0.000    0.000        0.000    0.000
 1980.292   4  1980      163.974    4.897      303.579    7.538        0.000    0.000       83.678   10.266       92.440    1.742      300.561    0.182        0.000    0.000        0.000    0.000
 1980.375   5  1980      164.995    4.745      304.787    7.555        0.000    0.000       84.726    9.728       92.791    1.734      300.329    0.463        0.000    0.000        0.000    0.000
 1980.458   6  1980      165.288    4.770      306.788    8.388        0.000    0.000       85.175    9.532       92.704    1.700      300.700    0.302        0.000    0.000        0.000    0.000
 1980.542   7  1980      166.001    4.683      309.240    8.926        0.000    0.000       85.181    8.898       92.421    1.816      301.151    0.358        0.000    0.000        0.000    0.000
 1980.625   8  1980      166.760    4.789      309.900    8.539        0.000    0.000       84.971    8.050       92.425    1.794      300.926    0.284        0.000    0.000        0.000    0.000
