year,gmst
1850,-0.053137255
1851,0.056862745
1852,0.084362745
1853,0.049362745
1854,0.049362745
1855,0.054362745
1856,-0.045637255
1857,-0.143137255
1858,-0.038137255
1859,0.066862745
1860,-0.058137255
1861,-0.095637255
1862,-0.158137255
1863,-0.003137255
1864,-0.048137255
1865,0.034362745
1866,0.044362745
1867,0.044362745
1868,0.054362745
1869,0.059362745
1870,0.019362745
1871,-0.008137255
1872,0.024362745
1873,0.016862745
1874,-0.018137255
1875,-0.005637255
1876,-0.048137255
1877,0.269362745
1878,0.324362745
1879,0.079362745
1880,0.029362745
1881,0.109362745
1882,0.059362745
1883,-0.003137255
1884,-0.135637255
1885,-0.135637255
1886,-0.115637255
1887,-0.170637255
1888,-0.010637255
1889,0.116862745
1890,-0.138137255
1891,-0.035637255
1892,-0.120637255
1893,-0.118137255
1894,-0.100637255
1895,-0.053137255
1896,0.089362745
1897,0.091862745
1898,-0.110637255
1899,0.019362745
1900,0.124362745
1901,0.069362745
1902,-0.070637255
1903,-0.165637255
1904,-0.238137255
1905,-0.048137255
1906,0.026862745
1907,-0.133137255
1908,-0.168137255
1909,-0.215637255
1910,-0.183137255
1911,-0.200637255
1912,-0.130637255
1913,-0.115637255
1914,0.076862745
1915,0.139362745
1916,-0.083137255
1917,-0.213137255
1918,-0.060637255
1919,-0.000637255
1920,0.036862745
1921,0.079362745
1922,-0.005637255
1923,0.019362745
1924,0.021862745
1925,0.061862745
1926,0.194362745
1927,0.089362745
1928,0.101862745
1929,-0.063137255
1930,0.146862745
1931,0.209362745
1932,0.161862745
1933,-0.003137255
1934,0.144362745
1935,0.096862745
1936,0.144362745
1937,0.294362745
1938,0.294362745
1939,0.279362745
1940,0.386862745
1941,0.366862745
1942,0.329362745
1943,0.356862745
1944,0.481862745
1945,0.356862745
1946,0.204362745
1947,0.249362745
1948,0.191862745
1949,0.181862745
1950,0.106862745
1951,0.259362745
1952,0.336862745
1953,0.401862745
1954,0.204362745
1955,0.144362745
1956,0.081862745
1957,0.306862745
1958,0.319362745
1959,0.294362745
1960,0.244362745
1961,0.316862745
1962,0.271862745
1963,0.309362745
1964,0.051862745
1965,0.159362745
1966,0.211862745
1967,0.244362745
1968,0.179362745
1969,0.321862745
1970,0.279362745
1971,0.159362745
1972,0.261862745
1973,0.411862745
1974,0.184362745
1975,0.246862745
1976,0.154362745
1977,0.459362745
1978,0.356862745
1979,0.439362745
1980,0.544362745
1981,0.599362745
1982,0.396862745
1983,0.574362745
1984,0.411862745
1985,0.401862745
1986,0.451862745
1987,0.584362745
1988,0.639362745
1989,0.529362745
1990,0.701862745
1991,0.681862745
1992,0.476862745
1993,0.529362745
1994,0.584362745
1995,0.734362745
1996,0.621862745
1997,0.766862745
1998,0.911862745
1999,0.671862745
2000,0.676862745
2001,0.821862745
2002,0.891862745
2003,0.886862745
2004,0.811862745
2005,0.959362745
2006,0.911862745
2007,0.929362745
2008,0.806862745
2009,0.936862745
2010,1.006862745
2011,0.889362745
2012,0.914362745
2013,0.941862745
2014,1.016862745
2015,1.161862745
2016,1.276862745
2017,1.186862745
2018,1.109362745
2019,1.236862745
2020,1.269362745
2021,1.109362745
2022,1.154362745
