time,GMST
1850.5,-0.046
1851.5,0.041
1852.5,0.099
1853.5,0.054
1854.5,0.049
1855.5,0.076
1856.5,-0.021
1857.5,-0.114
1858.5,-0.049
1859.5,0.051
1860.5,-0.059
1861.5,-0.116
1862.5,-0.184
1863.5,-0.039
1864.5,-0.074
1865.5,0.034
1866.5,0.014
1867.5,-0.011
1868.5,0.059
1869.5,0.066
1870.5,0.026
1871.5,-0.004
1872.5,0.034
1873.5,0.016
1874.5,-0.056
1875.5,-0.006
1876.5,-0.041
1877.5,0.306
1878.5,0.364
1879.5,0.084
1880.5,0.039
1881.5,0.134
1882.5,0.061
1883.5,0.016
1884.5,-0.116
1885.5,-0.109
1886.5,-0.101
1887.5,-0.159
1888.5,0.006
1889.5,0.124
1890.5,-0.154
1891.5,-0.044
1892.5,-0.131
1893.5,-0.134
1894.5,-0.136
1895.5,-0.059
1896.5,0.084
1897.5,0.094
1898.5,-0.106
1899.5,0.029
1900.5,0.121
1901.5,0.071
1902.5,-0.069
1903.5,-0.191
1904.5,-0.251
1905.5,-0.074
1906.5,0.026
1907.5,-0.154
1908.5,-0.191
1909.5,-0.219
1910.5,-0.186
1911.5,-0.206
1912.5,-0.129
1913.5,-0.119
1914.5,0.076
1915.5,0.131
1916.5,-0.089
1917.5,-0.209
1918.5,-0.081
1919.5,-0.001
1920.5,0.036
1921.5,0.076
1922.5,-0.009
1923.5,0.014
1924.5,0.014
1925.5,0.054
1926.5,0.186
1927.5,0.084
1928.5,0.089
1929.5,-0.071
1930.5,0.151
1931.5,0.199
1932.5,0.151
1933.5,-0.001
1934.5,0.146
1935.5,0.111
1936.5,0.151
1937.5,0.301
1938.5,0.291
1939.5,0.284
1940.5,0.391
1941.5,0.351
1942.5,0.299
1943.5,0.336
1944.5,0.464
1945.5,0.346
1946.5,0.191
1947.5,0.241
1948.5,0.179
1949.5,0.161
1950.5,0.086
1951.5,0.231
1952.5,0.319
1953.5,0.386
1954.5,0.181
1955.5,0.124
1956.5,0.066
1957.5,0.294
1958.5,0.309
1959.5,0.289
1960.5,0.226
1961.5,0.311
1962.5,0.266
1963.5,0.299
1964.5,0.039
1965.5,0.141
1966.5,0.194
1967.5,0.224
1968.5,0.169
1969.5,0.309
1970.5,0.264
1971.5,0.149
1972.5,0.261
1973.5,0.399
1974.5,0.169
1975.5,0.229
1976.5,0.141
1977.5,0.449
1978.5,0.336
1979.5,0.421
1980.5,0.536
1981.5,0.584
1982.5,0.381
1983.5,0.564
1984.5,0.394
1985.5,0.381
1986.5,0.444
1987.5,0.569
1988.5,0.619
1989.5,0.501
1990.5,0.689
1991.5,0.666
1992.5,0.466
1993.5,0.509
1994.5,0.569
1995.5,0.721
1996.5,0.604
1997.5,0.749
1998.5,0.894
1999.5,0.651
2000.5,0.654
2001.5,0.804
2002.5,0.879
2003.5,0.871
2004.5,0.799
2005.5,0.946
2006.5,0.901
2007.5,0.911
2008.5,0.786
2009.5,0.919
2010.5,0.989
2011.5,0.866
2012.5,0.899
2013.5,0.929
2014.5,0.994
2015.5,1.144
2016.5,1.261
2017.5,1.166
2018.5,1.094
2019.5,1.214
2020.5,1.249
2021.5,1.096
2022.5,1.139
2023.5,1.439
2024.5,1.511
2025.5,1.391
