Year	gmst
1850	-0.046
1851	0.041
1852	0.099
1853	0.054
1854	0.049
1855	0.076
1856	-0.021
1857	-0.114
1858	-0.049
1859	0.051
1860	-0.059
1861	-0.116
1862	-0.184
1863	-0.039
1864	-0.074
1865	0.034
1866	0.014
1867	-0.011
1868	0.059
1869	0.066
1870	0.026
1871	-0.004
1872	0.034
1873	0.016
1874	-0.056
1875	-0.006
1876	-0.041
1877	0.306
1878	0.364
1879	0.084
1880	0.039
1881	0.134
1882	0.061
1883	0.016
1884	-0.116
1885	-0.109
1886	-0.101
1887	-0.159
1888	0.006
1889	0.124
1890	-0.154
1891	-0.044
1892	-0.131
1893	-0.134
1894	-0.136
1895	-0.059
1896	0.084
1897	0.094
1898	-0.106
1899	0.029
1900	0.121
1901	0.071
1902	-0.069
1903	-0.191
1904	-0.251
1905	-0.074
1906	0.026
1907	-0.154
1908	-0.191
1909	-0.219
1910	-0.186
1911	-0.206
1912	-0.129
1913	-0.119
1914	0.076
1915	0.131
1916	-0.089
1917	-0.209
1918	-0.081
1919	-0.001
1920	0.036
1921	0.076
1922	-0.009
1923	0.014
1924	0.014
1925	0.054
1926	0.186
1927	0.084
1928	0.089
1929	-0.071
1930	0.151
1931	0.199
1932	0.151
1933	-0.001
1934	0.146
1935	0.111
1936	0.151
1937	0.301
1938	0.291
1939	0.284
1940	0.391
1941	0.351
1942	0.299
1943	0.336
1944	0.464
1945	0.346
1946	0.191
1947	0.241
1948	0.179
1949	0.161
1950	0.086
1951	0.231
1952	0.319
1953	0.386
1954	0.181
1955	0.124
1956	0.066
1957	0.294
1958	0.309
1959	0.289
1960	0.226
1961	0.311
1962	0.266
1963	0.299
1964	0.039
1965	0.141
1966	0.194
1967	0.224
1968	0.169
1969	0.309
1970	0.264
1971	0.149
1972	0.261
1973	0.399
1974	0.169
1975	0.229
1976	0.141
1977	0.449
1978	0.336
1979	0.421
1980	0.536
1981	0.584
1982	0.381
1983	0.564
1984	0.394
1985	0.381
1986	0.444
1987	0.569
1988	0.619
1989	0.501
1990	0.689
1991	0.666
1992	0.466
1993	0.509
1994	0.569
1995	0.721
1996	0.604
1997	0.749
1998	0.894
1999	0.651
2000	0.654
2001	0.804
2002	0.879
2003	0.871
2004	0.799
2005	0.946
2006	0.901
2007	0.911
2008	0.786
2009	0.919
2010	0.989
2011	0.866
2012	0.899
2013	0.929
2014	0.994
2015	1.144
2016	1.261
2017	1.166
2018	1.094
2019	1.214
2020	1.249
2021	1.096
2022	1.139
2023	1.439
2024	1.511
2025	1.391
