year,cmip5-hist,rcp26,rcp45,rcp60,rcp85,cmip6-hist,cmip6-hist-low,cmip6-hist-high,ssp119,ssp126,ssp245,ssp370,ssp434,ssp460,ssp534,ssp585,gcb-2024,gcb-2025,cmip7-hist,scen7-h,scen7-vl
1700,0.0043908176,,,,,0.0037366918,0.0042663473,0.0037370224,,,,,,,,,0.0055830916,0.005439418,0.0055830986,,
1701,0.0042930245,,,,,0.0036594307,0.0041878982,0.0036591582,,,,,,,,,0.005456585,0.005313478,0.005456597,,
1702,0.004195243,,,,,0.0035821826,0.0041094744,0.0035813197,,,,,,,,,0.005330078,0.0051875194,0.0053300895,,
1703,0.004097451,,,,,0.0035049268,0.0040310193,0.003503481,,,,,,,,,0.00520358,0.0050615775,0.0052035903,,
1704,0.003999657,,,,,0.0034276764,0.003952562,0.0034256403,,,,,,,,,0.0050770785,0.004935629,0.0050770883,,
1705,0.0039018472,,,,,0.0033503918,0.0038741403,0.0033477866,,,,,,,,,0.0049505783,0.0048096827,0.004950591,,
1706,0.003804071,,,,,0.0032731087,0.0037957039,0.0032699222,,,,,,,,,0.0048240777,0.0046837595,0.004824091,,
1707,0.0037062808,,,,,0.003195858,0.0037172756,0.0031920571,,,,,,,,,0.004697579,0.004557825,0.004697589,,
1708,0.003608488,,,,,0.0031185737,0.0036388137,0.003114191,,,,,,,,,0.004571065,0.004431882,0.004571078,,
1709,0.0035106905,,,,,0.0030412995,0.0035603747,0.0030363803,,,,,,,,,0.00444457,0.004305934,0.0044445833,,
1710,0.0034155913,,,,,0.0029627741,0.003474521,0.0029536097,,,,,,,,,0.004315331,0.0041777333,0.0043153455,,
1711,0.0033232078,,,,,0.0028829523,0.0033812393,0.0028659382,,,,,,,,,0.004183347,0.0040472676,0.004183362,,
1712,0.0032308009,,,,,0.002803101,0.0032879715,0.0027782319,,,,,,,,,0.0040513524,0.0039167856,0.0040513636,,
1713,0.003138386,,,,,0.0027232922,0.003194697,0.0026905425,,,,,,,,,0.0039193626,0.0037863085,0.003919375,,
1714,0.0030459827,,,,,0.0026434648,0.0031014194,0.0026028533,,,,,,,,,0.00378737,0.0036558416,0.003787382,,
1715,0.0029535794,,,,,0.002563633,0.003008149,0.0025151505,,,,,,,,,0.0036553855,0.0035253647,0.0036553992,,
1716,0.0028611682,,,,,0.0024838138,0.002914877,0.0024274627,,,,,,,,,0.003523405,0.0033948987,0.003523414,,
1717,0.0027687454,,,,,0.0024039843,0.0028215873,0.0023397892,,,,,,,,,0.003391426,0.003264445,0.0033914347,,
1718,0.0026763326,,,,,0.0023241502,0.0027283188,0.002252102,,,,,,,,,0.0032594665,0.0031339673,0.003259476,,
1719,0.0025839263,,,,,0.0022442832,0.0026350506,0.0021644104,,,,,,,,,0.0031274802,0.0030034978,0.0031274883,,
1720,0.0025035525,,,,,0.0021689488,0.0025457283,0.0020835022,,,,,,,,,0.00300772,0.002884361,0.0030077323,,
1721,0.002435198,,,,,0.0020981375,0.0024603345,0.002009415,,,,,,,,,0.0029002044,0.0027765764,0.0029002174,,
1722,0.002366835,,,,,0.0020273163,0.0023749517,0.0019353594,,,,,,,,,0.0027926918,0.0026687754,0.0027927011,,
1723,0.002298462,,,,,0.0019565022,0.0022895713,0.0018612915,,,,,,,,,0.002685173,0.0025610125,0.0026851809,,
1724,0.002230111,,,,,0.0018856595,0.0022041914,0.0017871914,,,,,,,,,0.0025776653,0.0024532303,0.0025776771,,
1725,0.0021617499,,,,,0.0018148572,0.0021188227,0.0017130967,,,,,,,,,0.0024701501,0.0023454367,0.0024701604,,
1726,0.0020933675,,,,,0.0017440446,0.0020334288,0.0016390249,,,,,,,,,0.0023626394,0.0022376429,0.002362647,,
1727,0.0020249877,,,,,0.0016732145,0.0019480301,0.0015649461,,,,,,,,,0.0022551126,0.0021298653,0.0022551245,,
1728,0.0019566114,,,,,0.001602395,0.0018626403,0.0014908592,,,,,,,,,0.0021475933,0.0020220755,0.0021476028,,
1729,0.0018882588,,,,,0.00153159,0.0017772747,0.0014167645,,,,,,,,,0.0020400847,0.0019142817,0.0020400945,,
1730,0.0018066008,,,,,0.0014643264,0.0016966756,0.0013473739,,,,,,,,,0.0019406956,0.0018159507,0.0019407057,,
1731,0.001711662,,,,,0.0014005651,0.0016208434,0.0012826924,,,,,,,,,0.0018494305,0.0017270488,0.0018494414,,
1732,0.0016167527,,,,,0.0013367964,0.0015450154,0.0012179866,,,,,,,,,0.0017581759,0.0016381433,0.001758184,,
1733,0.0015218213,,,,,0.001273031,0.0014691942,0.0011532946,,,,,,,,,0.001666917,0.001549227,0.0016669242,,
1734,0.0014268797,,,,,0.0012092795,0.0013933547,0.0010886192,,,,,,,,,0.0015756724,0.0014603001,0.0015756818,,
1735,0.0013319555,,,,,0.0011455319,0.0013175262,0.0010239659,,,,,,,,,0.0014844091,0.0013713839,0.0014844182,,
1736,0.0012370182,,,,,0.0010817806,0.0012417025,0.00095928146,,,,,,,,,0.001393147,0.0012824677,0.0013931548,,
1737,0.0011420825,,,,,0.0010180552,0.0011658657,0.0008945644,,,,,,,,,0.0013018966,0.0011935332,0.0013019051,,
1738,0.0010471493,,,,,0.00095430634,0.0010900199,0.00082986726,,,,,,,,,0.0012106407,0.0011046184,0.0012106495,,
1739,0.00095222564,,,,,0.0008905535,0.0010141924,0.00076517946,,,,,,,,,0.0011193907,0.0010157148,0.0011193997,,
1740,0.0008617349,,,,,0.00081840676,0.0009305411,0.00069877726,,,,,,,,,0.0010233998,0.0009258885,0.0010234076,,
