year,cwatm_gfdl-esm2m_low,cwatm_gfdl-esm2m_median,cwatm_gfdl-esm2m_high,cwatm_hadgem2-es_low,cwatm_hadgem2-es_median,cwatm_hadgem2-es_high,cwatm_ipsl-cm5a-lr_low,cwatm_ipsl-cm5a-lr_median,cwatm_ipsl-cm5a-lr_high,cwatm_miroc5_low,cwatm_miroc5_median,cwatm_miroc5_high,h08_gfdl-esm2m_low,h08_gfdl-esm2m_median,h08_gfdl-esm2m_high,h08_hadgem2-es_low,h08_hadgem2-es_median,h08_hadgem2-es_high,h08_ipsl-cm5a-lr_low,h08_ipsl-cm5a-lr_median,h08_ipsl-cm5a-lr_high,h08_miroc5_low,h08_miroc5_median,h08_miroc5_high,matsiro_gfdl-esm2m_low,matsiro_gfdl-esm2m_median,matsiro_gfdl-esm2m_high,matsiro_hadgem2-es_low,matsiro_hadgem2-es_median,matsiro_hadgem2-es_high,matsiro_ipsl-cm5a-lr_low,matsiro_ipsl-cm5a-lr_median,matsiro_ipsl-cm5a-lr_high,matsiro_miroc5_low,matsiro_miroc5_median,matsiro_miroc5_high,AVERAGE_low,AVERAGE_median,AVERAGE_high
1861,-0.001926857369747715,-0.0009634286848738575,0.0009634286848738575,-0.0005016583065114858,-0.0002508291532557429,0.0002508291532557429,-0.0006211690246169432,-0.0003105845123084716,0.0003105845123084716,-0.0025845128851941126,-0.0012922564425970563,0.0012922564425970563,-0.0005979797433316314,-0.0002989898716658157,0.0002989898716658157,0.00022982095776374816,0.00011491047888187408,-0.00011491047888187408,-0.0007908771108719361,-0.00039543855543596807,0.00039543855543596807,-0.0016101488902040243,-0.0008050744451020121,0.0008050744451020121,-0.0006285454609427825,-0.00031427273047139126,0.00031427273047139126,-0.00048915550487572,-0.00024457775243786,0.00024457775243786,-1.7687809052618594e-06,-8.843904526309297e-07,8.843904526309297e-07,-0.0012261256719757886,-0.0006130628359878943,0.0006130628359878943,-0.000895748149284471,-0.0004478740746422355,0.0004478740746422355
1862,-0.00208995905777976,-0.00104497952888988,0.00104497952888988,-0.0014547500420577532,-0.0007273750210288766,0.0007273750210288766,-0.00026871346472656497,-0.00013435673236328249,0.00013435673236328249,-0.0013631879259357023,-0.0006815939629678512,0.0006815939629678512,-0.0006763903003789177,-0.00033819515018945886,0.00033819515018945886,-0.0002525217267373988,-0.0001262608633686994,0.0001262608633686994,-0.00022163367922181093,-0.00011081683961090546,0.00011081683961090546,-0.000699471749136011,-0.0003497358745680055,0.0003497358745680055,-0.0007732482382446355,-0.00038662411912231777,0.00038662411912231777,-0.0009902924866704828,-0.0004951462433352414,0.0004951462433352414,1.3382456833112293e-05,6.691228416556147e-06,-6.691228416556147e-06,-0.0009443820486037756,-0.0004721910243018878,0.0004721910243018878,-0.0008100973552216417,-0.00040504867761082084,0.00040504867761082084
1863,-0.0023507643422148667,-0.0011753821711074333,0.0011753821711074333,-0.0012363731955479255,-0.0006181865977739628,0.0006181865977739628,-0.00035183161272960933,-0.00017591580636480467,0.00017591580636480467,-0.001170474934353769,-0.0005852374671768845,0.0005852374671768845,-0.000996537629024364,-0.000498268814512182,0.000498268814512182,0.00018277373561721328,9.138686780860664e-05,-9.138686780860664e-05,-7.179899446161214e-05,-3.589949723080607e-05,3.589949723080607e-05,-0.0007001616054367009,-0.00035008080271835046,0.00035008080271835046,-0.0009054945863866404,-0.0004527472931933202,0.0004527472931933202,-0.001083805211387012,-0.000541902605693506,0.000541902605693506,2.3592013541592368e-05,1.1796006770796184e-05,-1.1796006770796184e-05,-0.000848135933370918,-0.000424067966685459,0.000424067966685459,-0.0007924176913128846,-0.0003962088456564423,0.0003962088456564423
1864,-0.0027044542016336688,-0.0013522271008168344,0.0013522271008168344,-0.0010115267829453394,-0.0005057633914726697,0.0005057633914726697,-0.0009373820041265765,-0.00046869100206328826,0.00046869100206328826,-0.0011054063688543682,-0.0005527031844271841,0.0005527031844271841,-0.001475109242255817,-0.0007375546211279085,0.0007375546211279085,0.0002812267714488884,0.0001406133857244442,-0.0001406133857244442,-0.000616742650250763,-0.0003083713251253815,0.0003083713251253815,-0.0004743983348842375,-0.00023719916744211874,0.00023719916744211874,-0.0009058288590579648,-0.0004529144295289824,0.0004529144295289824,-0.0009977585827167601,-0.0004988792913583801,0.0004988792913583801,-0.00024266977192371588,-0.00012133488596185794,0.00012133488596185794,-0.0008201763693877187,-0.00041008818469385935,0.00041008818469385935,-0.0009175188663823366,-0.0004587594331911683,0.0004587594331911683
1865,-0.002676425482938449,-0.0013382127414692244,0.0013382127414692244,-0.00114722052938155,-0.000573610264690775,0.000573610264690775,-0.0012451521363397815,-0.0006225760681698907,0.0006225760681698907,-0.0011740819844218164,-0.0005870409922109082,0.0005870409922109082,-0.001625083525218897,-0.0008125417626094485,0.0008125417626094485,2.3341226265123732e-05,1.1670613132561866e-05,-1.1670613132561866e-05,-0.0007110795890689419,-0.00035553979453447097,0.00035553979453447097,-0.0006236572181816573,-0.00031182860909082866,0.00031182860909082866,-0.0009195657641514294,-0.0004597828820757147,0.0004597828820757147,-0.0009345303926161925,-0.00046726519630809626,0.00046726519630809626,-0.00037258379281204405,-0.00018629189640602202,0.00018629189640602202,-0.0008211627443215381,-0.00041058137216076903,0.00041058137216076903,-0.0010189334944322645,-0.0005094667472161323,0.0005094667472161323
1866,-0.0027452425046244444,-0.0013726212523122222,0.0013726212523122222,-0.001342180062744368,-0.000671090031372184,0.000671090031372184,-0.001055097074725198,-0.000527548537362599,0.000527548537362599,-0.0014608267004057806,-0.0007304133502028903,0.0007304133502028903,-0.001684025232075781,-0.0008420126160378905,0.0008420126160378905,-0.00013405547093834562,-6.702773546917281e-05,6.702773546917281e-05,-0.0005857157908764703,-0.00029285789543823516,0.00029285789543823516,-0.0008438040090597371,-0.00042190200452986855,0.00042190200452986855,-0.0010276992887788645,-0.0005138496443894323,0.0005138496443894323,-0.0009858889679886793,-0.0004929444839943397,0.0004929444839943397,-0.00034211314524136885,-0.00017105657262068443,0.00017105657262068443,-0.000936521891304174,-0.000468260945652087,0.000468260945652087,-0.0010952641782302674,-0.0005476320891151337,0.0005476320891151337
1867,-0.002793126284396494,-0.001396563142198247,0.001396563142198247,-0.001387414728720693,-0.0006937073643603465,0.0006937073643603465,-0.0011398403527199405,-0.0005699201763599703,0.0005699201763599703,-0.001642764484234958,-0.000821382242117479,0.000821382242117479,-0.0018303810062514927,-0.0009151905031257463,0.0009151905031257463,-0.0003710165926342709,-0.00018550829631713546,0.00018550829631713546,-0.0006370803923433997,-0.00031854019617169984,0.00031854019617169984,-0.0008326261307306678,-0.0004163130653653339,0.0004163130653653339,-0.0010715481770779715,-0.0005357740885389858,0.0005357740885389858,-0.0010676023619242661,-0.0005338011809621331,0.0005338011809621331,-0.0003889335936975934,-0.0001944667968487967,0.0001944667968487967,-0.0010248019031904134,-0.0005124009515952067,0.0005124009515952067,-0.0011822613339935134,-0.0005911306669967567,0.0005911306669967567
1868,-0.002836380547329367,-0.0014181902736646835,0.0014181902736646835,-0.001542457561035319,-0.0007712287805176595,0.0007712287805176595,-0.0010695953532775025,-0.0005347976766387513,0.0005347976766387513,-0.001761464520748834,-0.000880732260374417,0.000880732260374417,-0.0018218354150847066,-0.0009109177075423533,0.0009109177075423533,-0.0005915174523542181,-0.00029575872617710903,0.00029575872617710903,-0.0006847104856750315,-0.00034235524283751575,0.00034235524283751575,-0.0009744211675603096,-0.0004872105837801548,0.0004872105837801548,-0.0011466902235694237,-0.0005733451117847119,0.0005733451117847119,-0.0011329231624677724,-0.0005664615812338862,0.0005664615812338862,-0.0004023076452366698,-0.0002011538226183349,0.0002011538226183349,-0.00109701918224165,-0.000548509591120825,0.000548509591120825,-0.0012551102263817337,-0.0006275551131908669,0.0006275551131908669
1869,-0.0028501954042496466,-0.0014250977021248233,0.0014250977021248233,-0.0018555934140888262,-0.0009277967070444131,0.0009277967070444131,-0.0011484501359875162,-0.0005742250679937581,0.0005742250679937581,-0.0018614748389549369,-0.0009307374194774684,0.0009307374194774684,-0.001943998499797602,-0.000971999249898801,0.000971999249898801,-0.0009543161218535392,-0.0004771580609267696,0.0004771580609267696,-0.0008385648124536506,-0.0004192824062268253,0.0004192824062268253,-0.001034183833308851,-0.0005170919166544254,0.0005170919166544254,-0.001207937646572896,-0.000603968823286448,0.000603968823286448,-0.0012862067254383004,-0.0006431033627191502,0.0006431033627191502,-0.0004472685666376636,-0.0002236342833188318,0.0002236342833188318,-0.001159604358408857,-0.0005798021792044285,0.0005798021792044285,-0.001382316196479357,-0.0006911580982396785,0.0006911580982396785
1870,-0.0029547105991329535,-0.0014773552995664767,0.0014773552995664767,-0.0020949751617403084,-0.0010474875808701542,0.0010474875808701542,-0.0014292283024885356,-0.0007146141512442678,0.0007146141512442678,-0.001946070368971492,-0.000973035184485746,0.000973035184485746,-0.0021009105270204725,-0.0010504552635102363,0.0010504552635102363,-0.001187857181062281,-0.0005939285905311404,0.0005939285905311404,-0.001000777190169653,-0.0005003885950848265,0.0005003885950848265,-0.0009553240732558176,-0.0004776620366279088,0.0004776620366279088,-0.001282166660816257,-0.0006410833304081285,0.0006410833304081285,-0.0013745581152916472,-0.0006872790576458236,0.0006872790576458236,-0.0005110896303483298,-0.0002555448151741649,0.0002555448151741649,-0.001190816677196317,-0.0005954083385981585,0.0005954083385981585,-0.001502373707291172,-0.000751186853645586,0.000751186853645586
