model,scenario,region,variable,unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|BC|Agriculture livestock,Mt BC/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CH4|Agriculture livestock,Mt CH4/yr,101.95455,102.03789,103.34655,104.78875,106.64562,107.3858,108.819916,110.26115,111.892715,112.140045,112.6212,113.31671,114.82534,115.230705,116.052574,117.26613,118.98164,119.067406,119.90911,119.996,120.413185,120.17369,120.26454,120.356735,120.780304,120.54526
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO|Agriculture livestock,Mt CO/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO2|Agriculture livestock,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO2_excl_short-cycle_org_C|Agriculture livestock,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO2_short-cycle_org_C|Agriculture livestock,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|N2O|Agriculture livestock,Mt N2O/yr,0.30560616,0.3013043,0.300665,0.29992598,0.29903427,0.30000493,0.3030936,0.30270326,0.30747923,0.30806544,0.30894753,0.30671313,0.30833647,0.30614123,0.30974266,0.31311357,0.31536448,0.3168589,0.3226761,0.3154124,0.3276051,0.33447045,0.33480465,0.3351451,0.33641106,0.33584514
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|NH3|Agriculture livestock,Mt NH3/yr,9.691471,9.731146,10.055358,10.016251,10.112875,10.230231,10.359413,10.466286,10.645537,10.746441,10.883837,10.749115,10.866702,10.933686,11.013686,11.15263,11.357796,11.420794,11.539621,11.581692,11.650421,11.671563,11.717865,11.7646265,11.836954,11.859545
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|NMVOC|Agriculture livestock,Mt NMVOC/yr,3.98748,4.087781,4.3157873,4.3004017,4.3896275,4.4803295,4.5571923,4.664608,4.80758,4.9210086,5.030106,4.927264,5.039572,5.0998516,5.1162767,5.211392,5.421567,5.4727473,5.5423484,5.5630355,5.5991797,5.6048875,5.626055,5.6473846,5.6844115,5.6905413
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|NOx|Agriculture livestock,Mt NO/yr,0.22113371,0.22167517,0.22735904,0.22700904,0.22890614,0.2315448,0.23435174,0.23678094,0.24018067,0.24255289,0.24506813,0.24286793,0.24539748,0.24661027,0.24858901,0.25128442,0.25450853,0.25525218,0.25672263,0.25748459,0.258842,0.25912791,0.25997496,0.26082963,0.26225328,0.26256162
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|OC|Agriculture livestock,Mt OC/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|SO2|Agriculture livestock,Mt SO2/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|BC|Agriculture soils,Mt BC/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CH4|Agriculture soils,Mt CH4/yr,33.665302,33.18167,32.84213,32.62908,33.83194,34.81293,35.191494,35.43284,36.642174,36.673576,37.23358,37.390858,37.46052,37.849934,37.57637,37.39599,37.484657,38.072044,38.052513,38.04702,38.08644,38.036247,38.030964,38.025734,38.06542,38.015488
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO|Agriculture soils,Mt CO/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO2|Agriculture soils,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO2_excl_short-cycle_org_C|Agriculture soils,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO2_short-cycle_org_C|Agriculture soils,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
