year,"Contrails ERF, W/m2"
1930,0.0
1931,2.937649503980207e-05
1932,5.875299007960414e-05
1933,8.81294851194062e-05
1934,0.00011750598015920828
1935,0.00014688247519901036
1936,0.0001762589702388124
1937,0.00020563546527861448
1938,0.00023501196031841656
1939,0.00026438845535821864
1940,0.0002937649503980207
1941,0.00031665572575371065
1942,0.0003433616303353488
1943,0.0003700675349169871
1944,0.0004005885687245737
1945,0.0004311096025321603
1946,0.0004692608947916435
1947,0.0005035970578251783
1948,0.0005455634793106099
1949,0.0005875299007960414
1950,0.0006371265807333694
1951,0.0006867232606706976
1952,0.0007401350698339742
1953,0.0008011771374491474
1954,0.0008660343342902688
1955,0.0009347066603573385
1956,0.001011009244876305
1957,0.0010911269586212197
1958,0.001178874930818031
1959,0.0012704380322407906
1960,0.0013734465213413951
1961,0.0015943870759349563
1962,0.0018521067767464348
1963,0.0020558658099780105
1964,0.002256146030571421
1965,0.002524779764488635
1966,0.002859447803304211
1967,0.0035189056772834074
1968,0.004150011071431089
1969,0.004517669383005407
1970,0.0047018920548368625
1971,0.005751221643936654
1972,0.006269174596004087
1973,0.006703123397308301
1974,0.0067018565448843355
1975,0.006927890214528755
1976,0.007147659275990132
1977,0.007806014976084601
1978,0.008297439646875324
1979,0.008855482525089366
1980,0.009153712562243607
1981,0.009186113637326496
1982,0.009582633581394035
1983,0.010008546899979596
1984,0.010930144928115067
1985,0.01154296276613418
1986,0.012489887694995646
1987,0.01335221249692986
1988,0.014333108342223226
1989,0.01525506847567337
1990,0.015695333600100912
1991,0.015585714134797255
1992,0.017212921131583597
1993,0.018823885859168117
1994,0.02004555263101087
1995,0.021404483997161543
1996,0.022656011531572966
1997,0.023810453078954144
1998,0.02477260128079125
1999,0.026280147462686025
2000,0.02834895138294256
2001,0.029009886421211162
2002,0.028463508182821416
2003,0.029486088111068422
2004,0.03353701322640502
2005,0.03523012315917151
2006,0.036697411583381266
2007,0.038624098825335657
2008,0.03939095754900881
2009,0.03833304357798938
2010,0.04246877222899278
2011,0.04452516656932756
2012,0.04487100296137657
2013,0.046266004383637184
2014,0.048205725469930634
2015,0.05074774491868883
2016,0.053342547624126525
2017,0.05580978756376751
2018,0.05637193345247248
2019,0.06154138611469255
2020,0.030675970199307498
2021,0.036909062776841445
2022,0.04686974620713812
2023,0.058994272036100845
2024,0.06487882012003748
2025,0.06750018658953393
