year,gcb-2025_rescaled,irrigation,total
1750,0.0,0.0,0.0
1751,-0.0001585476975781228,5.58e-05,-0.0001027476975781228
1752,-0.0003170958153456892,0.000108818,-0.00020827781534568922
1753,-0.0004756391998027581,0.000159181,-0.0003164581998027581
1754,-0.0006341758612287286,0.000206884,-0.0004272918612287286
1755,-0.0007927332355225682,0.000251954,-0.0005407792355225683
1756,-0.0009512804758357084,0.000294418,-0.0006568624758357083
1757,-0.0011098329067243287,0.000334304,-0.0007755289067243287
1758,-0.0012683808885482514,0.000371639,-0.0008967418885482514
1759,-0.0014269225675305197,0.000406451,-0.0010204715675305198
1760,-0.0015917113512736371,0.000438767,-0.001152944351273637
1761,-0.0017627174557611573,0.000468615,-0.0012941024557611572
1762,-0.0019337044045534529,0.000496022,-0.0014376824045534528
1763,-0.0021047189128298458,0.000521016,-0.0015837029128298458
1764,-0.002275734780542674,0.000543623,-0.001732111780542674
1765,-0.002446750401085242,0.000563872,-0.001882878401085242
1766,-0.0026177537866998914,0.00058179,-0.0020359637866998914
1767,-0.0027887572958996717,0.000597405,-0.0021913522958996717
1768,-0.0029597612994399737,0.000610743,-0.0023490182994399737
1769,-0.0031307629548627965,0.000621832,-0.0025089309548627964
1770,-0.0033148491859756415,0.0006307,-0.0026841491859756414
1771,-0.0035120232059919015,0.000637375,-0.0028746482059919015
1772,-0.003709200686391814,0.000641882,-0.0030673186863918143
1773,-0.003906385952654948,0.000644251,-0.003262134952654948
1774,-0.004103556759457815,0.000644509,-0.0034590477594578146
1775,-0.004300727689845812,0.000642682,-0.0036580456898458124
1776,-0.004497908012703727,0.000638799,-0.0038591090127037273
1777,-0.004695086111029293,0.000632887,-0.004062199111029292
1778,-0.004892288308455303,0.000624973,-0.004267315308455303
1779,-0.005089472956792783,0.000615085,-0.004474387956792784
1780,-0.005286040668158887,0.00060325,-0.004682790668158887
1781,-0.005481971421762475,0.000589495,-0.004892476421762475
1782,-0.005677917005581722,0.000573849,-0.005104068005581722
1783,-0.0058738813743408015,0.000556339,-0.005317542374340801
1784,-0.006069816947764478,0.000536991,-0.005532825947764478
1785,-0.006265769452351032,0.000515834,-0.005749935452351032
1786,-0.006461701688976185,0.000492895,-0.005968806688976185
1787,-0.006657645295433344,0.000468201,-0.006189444295433344
1788,-0.006853602496254855,0.00044178,-0.006411822496254855
1789,-0.007049551664042885,0.000413659,-0.006635892664042885
1790,-0.007276549865673261,0.000383866,-0.006892683865673261
1791,-0.007534630963471736,0.000352428,-0.007182202963471736
1792,-0.007792729981114132,0.000319373,-0.007473356981114131
1793,-0.00805082479686209,0.000284728,-0.00776609679686209
1794,-0.00830890428805387,0.00024852,-0.00806038428805387
1795,-0.008567016405720095,0.000210778,-0.008356238405720095
1796,-0.00882508193179213,0.000171528,-0.00865355393179213
1797,-0.009083205542875492,0.000130797,-0.008952408542875491
1798,-0.0093412924491751,8.86e-05,-0.0092526924491751
1799,-0.009599377378112619,4.5e-05,-0.009554377378112619
1800,-0.009900891728509009,0.0,-0.009900891728509009
1801,-0.01024587220514802,-4.64e-05,-0.01029227220514802
1802,-0.01059085762519225,-9.41e-05,-0.01068495762519225
1803,-0.010935836865979959,-0.00014313,-0.011078966865979959
1804,-0.011280827229429408,-0.000193453,-0.011474280229429408
1805,-0.011625753328611006,-0.000245036,-0.011870789328611006
1806,-0.011970760376053073,-0.000297852,-0.012268612376053072
1807,-0.012315717989442945,-0.000351874,-0.012667591989442945
1808,-0.012660708352892394,-0.000407074,-0.013067782352892394
1809,-0.013005667820059224,-0.000463424,-0.013469091820059224
1810,-0.013375435766319468,-0.000520898,-0.013896333766319468
1811,-0.013769931861338305,-0.000579468,-0.014349399861338305
1812,-0.014164482333814557,-0.000639106,-0.014803588333814557
1813,-0.01455899696660297,-0.000699785,-0.01525878196660297
1814,-0.014953539406045742,-0.000761477,-0.015715016406045744
1815,-0.015348064543570244,-0.000824156,-0.016172220543570245
1816,-0.015742623667005632,-0.000887793,-0.016630416667005633
1817,-0.016137155601712312,-0.000952361,-0.01708951660171231
1818,-0.01653163439481288,-0.001017833,-0.01754946739481288
1819,-0.01692619351824827,-0.001084181,-0.01801037451824827
1820,-0.017366969772930858,-0.001151378,-0.01851834777293086
1821,-0.01785388900778236,-0.001219396,-0.01907328500778236
1822,-0.01834085644083475,-0.001288208,-0.01962906444083475
1823,-0.0188277620813219,-0.001357786,-0.020185548081321898
1824,-0.0193147072690508,-0.001428104,-0.0207428112690508
1825,-0.01980169200402146,-0.001499132,-0.02130082400402146
1826,-0.020288605059616435,-0.001570845,-0.021859450059616436
1827,-0.020775544068088812,-0.001643215,-0.022418759068088812
1828,-0.021262494199222933,-0.001716213,-0.022978707199222934
1829,-0.021749454217167497,-0.001789814,-0.023539268217167498
1830,-0.022341797747578603,-0.001863988,-0.024205785747578604
1831,-0.023039605120791076,-0.00193871,-0.024978315120791076
1832,-0.023737321041006985,-0.002013951,-0.025751272041006985
1833,-0.024435120999111628,-0.002089683,-0.026524803999111626
1834,-0.025132933315729314,-0.00216588,-0.027298813315729312
1835,-0.02583071720776699,-0.002242515,-0.02807323220776699
1836,-0.026528445486495952,-0.002319558,-0.02884800348649595
1837,-0.02722622937853363,-0.002396984,-0.02962321337853363
1838,-0.027924072591433938,-0.002474764,-0.03039883659143394
