year,LUH2-GCB2024_rescaled,irrigation,total
1750,0.0,0.0,0.0
1751,-0.00016941737420101424,5.58e-05,-0.00011361737420101424
1752,-0.0003388353155576002,0.000108818,-0.00023001731555760018
1753,-0.0005082818768811596,0.000159181,-0.00034910087688115956
1754,-0.0006777028548886664,0.000206884,-0.00047081885488866644
1755,-0.0008471455117069578,0.000251954,-0.0005951915117069579
1756,-0.0010165547787720547,0.000294418,-0.0007221367787720546
1757,-0.0011859765992301092,0.000334304,-0.0008516725992301092
1758,-0.0013554202146371685,0.000371639,-0.0009837812146371685
1759,-0.0015248390056046579,0.000406451,-0.001118388005604658
1760,-0.0017015535734778095,0.000438767,-0.0012627865734778094
1761,-0.0018855549549558724,0.000468615,-0.0014169399549558725
1762,-0.0020695717323629035,0.000496022,-0.0015735497323629034
1763,-0.0022535702530021816,0.000521016,-0.0017325542530021816
1764,-0.002437567748038008,0.000543623,-0.001893944748038008
1765,-0.002621569500551058,0.000563872,-0.002057697500551058
1766,-0.002805575974367723,0.00058179,-0.002223785974367723
1767,-0.0029895685477628895,0.000597405,-0.0023921635477628894
1768,-0.003173579860082603,0.000610743,-0.002562836860082603
1769,-0.0033575864666089634,0.000621832,-0.0027357544666089632
1770,-0.0035610801786677758,0.0006307,-0.0029303801786677757
1771,-0.00378413025038834,0.000637375,-0.00314675525038834
1772,-0.004007158488534416,0.000641882,-0.0033652764885344164
1773,-0.0042301841932672665,0.000644251,-0.0035859331932672663
1774,-0.004453218115212798,0.000644509,-0.0038087091152127976
1775,-0.004676222196037968,0.000642682,-0.0040335401960379675
1776,-0.004899264855426526,0.000638799,-0.004260465855426526
1777,-0.005122278489036654,0.000632887,-0.004489391489036654
1778,-0.005345322449592924,0.000624973,-0.004720349449592924
1779,-0.005568357729995504,0.000615085,-0.004953272729995503
1780,-0.005781895013996854,0.00060325,-0.005178645013996853
1781,-0.005985972359626741,0.000589495,-0.005396477359626741
1782,-0.006190050028714,0.000573849,-0.005616201028713999
1783,-0.006394111530246609,0.000556339,-0.0058377725302466085
1784,-0.0065981921718882815,0.000536991,-0.006061201171888282
1785,-0.006802275039920161,0.000515834,-0.006286441039920161
1786,-0.007006338904348978,0.000492895,-0.0065134439043489775
1787,-0.007210419208246561,0.000468201,-0.006742218208246561
1788,-0.0074144811773362955,0.00044178,-0.006972701177336295
1789,-0.007618559324144516,0.000413659,-0.007204900324144516
1790,-0.00784836326120321,0.000383866,-0.007464497261203211
1791,-0.008103866500911999,0.000352428,-0.007751438500911999
1792,-0.008359364024814077,0.000319373,-0.008039991024814078
1793,-0.008614864696497158,0.000284728,-0.008330136696497159
1794,-0.00887034919781067,0.00024852,-0.00862182919781067
1795,-0.009125866472487757,0.000210778,-0.008915088472487757
1796,-0.00938137746532234,0.000171528,-0.009209849465322339
1797,-0.00963688260780316,0.000130797,-0.00950608560780316
1798,-0.009892386463179156,8.86e-05,-0.009803786463179157
1799,-0.010147893401811598,4.5e-05,-0.010102893401811598
1800,-0.010462109773340587,0.0,-0.010462109773340587
1801,-0.010835055956559658,-4.64e-05,-0.010881455956559658
1802,-0.01120800172714215,-9.41e-05,-0.01130210172714215
1803,-0.011580936269092961,-0.00014313,-0.011724066269092961
1804,-0.011953878185046056,-0.000193453,-0.012147331185046056
1805,-0.012326816337159305,-0.000245036,-0.012571852337159305
1806,-0.01269975819045092,-0.000297852,-0.012997610190450919
1807,-0.013072684468846947,-0.000351874,-0.013424558468846947
1808,-0.013445628279794723,-0.000407074,-0.013852702279794724
1809,-0.013818569745932367,-0.000463424,-0.014281993745932368
1810,-0.014207938750320146,-0.000520898,-0.014728836750320147
1811,-0.014613691324690656,-0.000579468,-0.015193159324690656
1812,-0.015019474347665998,-0.000639106,-0.015658580347666
1813,-0.015425264088898596,-0.000699785,-0.016125049088898596
1814,-0.015831046671048815,-0.000761477,-0.016592523671048815
1815,-0.01623681936974173,-0.000824156,-0.01706097536974173
1816,-0.01664258104206508,-0.000887793,-0.017530374042065082
1817,-0.01704836064623896,-0.000952361,-0.01800072164623896
1818,-0.0174541420913255,-0.001017833,-0.0184719750913255
1819,-0.01785990629982238,-0.001084181,-0.01894408729982238
1820,-0.01831231346455122,-0.001151378,-0.019463691464551222
1821,-0.018811359159219672,-0.001219396,-0.020030755159219673
1822,-0.019310383160706587,-0.001288208,-0.020598591160706586
1823,-0.01980940726967154,-0.001357786,-0.02116719326967154
1824,-0.02030844614678285,-0.001428104,-0.02173655014678285
1825,-0.020807474368026116,-0.001499132,-0.022306606368026116
1826,-0.021306507741618536,-0.001570845,-0.022877352741618538
1827,-0.021805541738581284,-0.001643215,-0.023448756738581284
1828,-0.022304554488506163,-0.001716213,-0.024020767488506164
1829,-0.02280358707772383,-0.001789814,-0.02459340107772383
1830,-0.023407486024095158,-0.001863988,-0.02527147402409516
1831,-0.024116220658664953,-0.00193871,-0.026054930658664953
1832,-0.024824944497883195,-0.002013951,-0.026838895497883195
1833,-0.02553368608824679,-0.002089683,-0.027623369088246794
1834,-0.026242404718179218,-0.00216588,-0.028408284718179216
1835,-0.026951144671660876,-0.002242515,-0.029193659671660876
1836,-0.027659868128226302,-0.002319558,-0.0299794261282263
1837,-0.028368596883883154,-0.002396984,-0.030765580883883155
1838,-0.029077337800550985,-0.002474764,-0.031552101800550986
1839,-0.029786074601976357,-0.002552872,-0.03233894660197636
1840,-0.030468707756601085,-0.002631279,-0.033099986756601085
1841,-0.03112522231371399,-0.002709959,-0.03383518131371399
1842,-0.031781755805207416,-0.002788884,-0.034570639805207415
1843,-0.03243828143327548,-0.002868026,-0.03530630743327548
1844,-0.03309480220399915,-0.002947357,-0.03604215920399915
1845,-0.03375133017866683,-0.003026852,-0.036778182178666824
1846,-0.034407870073978344,-0.003106481,-0.037514351073978346
1847,-0.03506439605811466,-0.003186218,-0.038250614058114654
1848,-0.035720926683707944,-0.003266035,-0.038986961683707945
1849,-0.0363774724451827,-0.003345905,-0.0397233774451827
1850,-0.037341395482068385,-0.0034258,-0.040767195482068384
1851,-0.03861278304994692,-0.003505693,-0.04211847604994692
1852,-0.039884147117507616,-0.003585557,-0.04346970411750762
1853,-0.04115552334383032,-0.003665363,-0.044820886343830316
1854,-0.042426894566128734,-0.003745084,-0.04617197856612874
1855,-0.04369827304977979,-0.003824694,-0.04752296704977979
1856,-0.04496964276730884,-0.003904164,-0.04887380676730884
1857,-0.046241012376700835,-0.003983467,-0.05022447937670083
1858,-0.0475123930571916,-0.004062576,-0.0515749690571916
1859,-0.04878375785521426,-0.004141463,-0.052925220855214256
1860,-0.04979907806964097,-0.004220101,-0.054019179069640974
1861,-0.050558326760813045,-0.004298462,-0.05485678876081305
1862,-0.05131755063746036,-0.004376519,-0.05569406963746036
1863,-0.052076779128200364,-0.004454244,-0.05653102312820037
1864,-0.05283602738389438,-0.00453161,-0.05736763738389438
1865,-0.05359527235444174,-0.00460859,-0.05820386235444174
1866,-0.054354507749601114,-0.004685155,-0.05903966274960111
1867,-0.05511375126988089,-0.00476128,-0.05987503126988089
1868,-0.05587299681109492,-0.004836935,-0.06070993181109492
1869,-0.05663222610647789,-0.004912094,-0.06154432010647789
1870,-0.05794270772318943,-0.00498673,-0.06292943772318943
1871,-0.05980441979544497,-0.005060814,-0.06486523379544497
1872,-0.06166613022353739,-0.005134319,-0.0668004492235374
1873,-0.06352785638156258,-0.005207219,-0.06873507538156258
1874,-0.06538958071977168,-0.005279485,-0.07066906571977168
1875,-0.06725130522990697,-0.005351089,-0.07260239422990697
1876,-0.06911304073414201,-0.005422006,-0.07453504673414202
1877,-0.07097476369163888,-0.005492206,-0.07646696969163888
1878,-0.0728364667552495,-0.005561663,-0.0783981297552495
1879,-0.07469818270104339,-0.005630349,-0.0803285317010434
1880,-0.0762812572568413,-0.005698237,-0.0819794942568413
1881,-0.07758566152505895,-0.005765299,-0.08335096052505896
1882,-0.07889005542572458,-0.005831508,-0.08472156342572458
1883,-0.08019447538708002,-0.005896837,-0.08609131238708002
1884,-0.08149888600917343,-0.005961257,-0.08746014300917343
1885,-0.0828032808733219,-0.006024742,-0.0888280228733219
1886,-0.0841076979536424,-0.006087264,-0.09019496195364239
1887,-0.0854121011433043,-0.006148795,-0.0915608961433043
1888,-0.08671652262381296,-0.006209309,-0.09292583162381296
1889,-0.08802092661548168,-0.006268777,-0.09428970361548168
1890,-0.08930706946258654,-0.006327172,-0.09563424146258655
1891,-0.09057499560814491,-0.006384468,-0.09695946360814492
1892,-0.09184291980348223,-0.006440635,-0.09828355480348223
1893,-0.09311084030534482,-0.006495647,-0.09960648730534483
1894,-0.0943787477014779,-0.006549477,-0.1009282247014779
1895,-0.09564665552569124,-0.006602097,-0.10224875252569124
1896,-0.09691456083383058,-0.006653479,-0.10356803983383059
1897,-0.09818246432939529,-0.006703597,-0.10488606132939529
1898,-0.09945040095734244,-0.006752422,-0.10620282295734243
1899,-0.10071831059352082,-0.006799927,-0.10751823759352082
1900,-0.10224318749121322,-0.006846085,-0.10908927249121322
1901,-0.10402504845346293,-0.006890961,-0.11091600945346293
1902,-0.10580694865169597,-0.006934897,-0.11274184565169597
1903,-0.10758880875362564,-0.006978285,-0.11456709375362564
1904,-0.10937065660108514,-0.007021517,-0.11639217360108514
1905,-0.11115253774104092,-0.007064985,-0.11821752274104091
1906,-0.11293438853410258,-0.007109082,-0.12004347053410258
1907,-0.11471625008325877,-0.0071542,-0.12187045008325877
1908,-0.11649810463607366,-0.007200732,-0.12369883663607366
1909,-0.11827996840632712,-0.007249069,-0.12552903740632712
1910,-0.11942166951301933,-0.007299604,-0.12672127351301932
1911,-0.11992318005890257,-0.007352729,-0.12727590905890257
1912,-0.12042470697148146,-0.007408837,-0.12783354397148144
1913,-0.12092622938811,-0.007468319,-0.12839454838810999
1914,-0.12142773698156939,-0.007531569,-0.12895930598156938
1915,-0.12192927279826465,-0.007598978,-0.12952825079826466
1916,-0.1224307901461209,-0.007670938,-0.1301017281461209
1917,-0.12293229330025507,-0.007747842,-0.13068013530025507
